k,t,label_any_correct,entropy_bits,temperature,max_tokens,gold_answers,question,mi_bits,agreement,verify_score
10,3,0,3.321928,0.5,64,"Port Hope, Oshawa, Ontario and Riverdale, Toronto | Derry, Maine",Where does the movie it take place 2017?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,abbey | cemetary crypt | Switzerland,Where did they escape to in the sound of music?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,United States | China,Who won the womens world cup in 2015?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Joel Tobeck | Craig Hall | Rodger Corser,Who plays the superintendent in doctor blake mysteries?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,early 1940s | the early 1940s | 1940s,When did they stop using knob and tube electrical?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Elizabeth Fishman | Elizabeth F. Loftus | Elizabeth Loftus | Hugo Münsterberg,A pioneer in the field of eye witness research?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Jacinda Barrett | Giacinta Juanita Cordelia Arabella Luciana Rosalina Barrett | Barrett,Who plays rebecca in bridget jones edge of reason?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Eddie Murphy,Who played the white guy in the barbershop in coming to america?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,16 March 1815,When did the netherlands became a constitutional monarchy?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,12 September 2017 | 14 August 2018 | 12 September 2017 - 2 October 2018,When is season 3 of 800 words coming out?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,"May 26, 2007",When did the maverick at cedar point open?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Montana | Idaho | Oregon | Washington | Washington and Oregon,What state is directly west of north dakota?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,"ribs six through twelve | longissimus dorsi muscle, complexus and spinalis muscles",What part of cow does ribeye come from?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Harry Vanda and George Young | Andy Hill & Pete Sinfield | Burt Bacharach & Hal David,Who wrote the song land of make believe?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Chevrolet Impala Lowrider | Chevrolet Impala | Lowrider,What kind of car was ramone from cars?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,"2017 | 2016 | 2015 | August 1966, | February 18, 1996",When was the last time a $2 bill was printed?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,22.972 | 22.972 mi | 22.98,How many miles is mccarran blvd in reno nv?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Carey Lowell | Lynn Cartwright,Who played the older dottie in a league of their own?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Thomas Jefferson,Unable to attend the constitutional convention because he was serving as american minister to france?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,left behind and palmed | palmed | palm,Where does the coin go in a french drop?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Florida St. | Florida State | Alabama Crimson Tide and Clemson Tigers | Nebraska | Alabama | Princeton,Who's won the most national championships in college football?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Lipases | Proteases | peptidases | proteinase | Amylases | nucleodepolymerase | polynucleotidase | Nucleases,What are the 3 types of enzymes in digestion?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,"Amber, Tammy, Shelley, and The Dynamites (Brittany Snow) | Amber, Tammy, Shelley, and The Dynamites",Who sings the new girl in town hairspray?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,John Cappelletti,Who won the heisman trophy from penn state?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,2 | 1,How many times has the patriots won the superbowl in a row?,0.985645,0.100000,0.000000
